GENE	Sample1	Sample2
ABCG1	7.969566401	9.34984
ABCG2	0	0
ABCG4	0	0
ABCG5	0	0
ABCG8	0	0
ABHD10	28.6957	26.5615
ABHD11	19.2264	0
ABHD12B	0	0
ABHD12	0	33.3798
ABHD13	17.1618	9.1368
ABHD14A	23.0058	0
ABHD14B	108.8311	85.0985
ABHD15	25.5865	47.5731
ABHD1	0	0
ABHD2	41.4074	9.2074
ABHD3	53.1884	9.08949
ABHD4	24.50982	20.8926
ABHD5	12.7453	6.03262
ABHD6	0	0
ABHD8	22.7627	15.6834
ABI1	59.4172	31.1614
ABI2	21.1068	0
ABI3BP	0	0
ABI3	90.9568409	31.0622
ABL1	12.6674	5.99643
ABL2	18.3811654	0
ABLIM1	88.5671	79.870636
ABLIM2	0	0
ABLIM3	5.990378998	0
ABO	0	0
AOC1	3.52754	0
ABRA	0	0
ABR	154.65691325225	62.8787
ABT1	31.502	29.0456
ABTB1	148.4130147413	91.6509
ABTB2	0	0
ACAA1	52.9022	19.4383
ACAA2	30.0643	40.8109
ACACA	6.40124	10.106
ACACB	4.860591712	0
ACAD10	10.1443	35.00399
ACAD11	12.979	0
ACAD8	40.4248	18.0865
ACAD9	0	31.6303
ACADL	0	0
ACADM	28.2687	30.112
ACADSB	11.8002	8.3892
ACADS	21.1371	11.2982
ACADVL	285.19453715	73.637930673697
ACAN	0	0
ACAP1	252.795	136.612
ACAP2	56.7608	24.743
ACAP3	115.9431	16.8659
ACAT1	22.27	23.0394
ACAT2	0	31.996
ACBD3	6.47242	27.3125
ACBD4	25.728100325042	11.0256
ACBD5	29.36584	4.56768
ACBD6	15.0526	61.2945
ACBD7	18.7492	0
ASIC2	0	0
ASIC1	0	0
ASIC3	12.6362	0
ASIC4	0	0
ASIC5	0	0
ACCSL	0	0
ACCS	25.5498	0
ACD	35.45770125075	16.2573
ACE2	0	0
ACER1	0	0
ACER2	0	0
ACER3	26.03909	8.40464292987
ACE	0	0
ACHE	0	0
ACIN1	234.0989	54.9921
ACLY	31.7745331	70.6284
ACMSD	0	0
SDHAF3	0	0
ACO1	19.51430136766	0
ACO2	40.6438	66.2797
ACOT11	10.9009	0
ACOT12	0	0
ACOT13	11.1813	12.6967
ACOT1	0	0
ACOT2	0	0
ACOT4	0	0
ACOT6	0	0
ACOT7	0	0
ACOT8	21.8686	43.3193
ACOT9	34.37532	0
ACOX1	3.05031124494	2.226500168582
ACOX2	0	0
ACOX3	21.5959	0
ACOXL	0	0
ACP1	63.04180128354	10.66534
ACP2	11.281569	10.755
ACP5	25.2658	33.7278
ACP6	13.3051	18.1893
PXYLP1	15.991	0
ACPP	20.60678	0
ACPT	0	0
ACRBP	0	35.0242
ACRC	0	0
ACRV1	0	0
ACR	0	0
ACSBG1	0	0
ACSBG2	0	0
ACSF2	10.5659	19.4422
ACSF3	31.0306	21.4723
ACSL1	57.119702162	6.6102
ACSL3	16.1554	11.4147
ACSL4	64.8512	22.50624
ACSL5	35.71279	10.7321
ACSL6	9.35092	0
ACSM1	0	0
ACSM2A	0	0
ACSM2B	0	0
ACSM3	0	15.5462294859
ACSM4	0	0
ACSM5	0	0
ACSS1	76.289	35.4688
ACSS2	28.37753757	17.1023
ACSS3	0	0
ACTA1	0	0
ACTA2	0	0
ACTBL2	0	0
ACTB	6190.2673	6845.34075
ACTC1	0	0
ACTG1	1484.2100577267	1801.04294131
ACTG2	0	0
ACTL6A	14.1476	19.2743
ACTL6B	0	0
ACTL7A	0	0
ACTL7B	0	0
ACTL8	0	0
ACTL9	0	0
ACTN1	97.35232795609	48.072986
ACTN2	0	0
ACTN3	0	0
ACTN4	114.499	161.4995
ACTR10	38.8649224	0
ACTR1A	33.37744	40.7626
ACTR1B	62.825	50.6918
ACTR2	284.7031	295.964
ACTR3B	0	0
ACTR3C	0	0
ACTR3	154.017	232.2144643
ACTR5	18.9583	0
ACTR6	14.2754	19.4383
ACTR8	33.0822	11.5456
ACTRT1	0	0
ACTRT2	0	0
ACVR1B	38.7699	14.2946
ACVR1C	0	0
ACVR1	8.13667	5.68255
ACVR2A	4.40844848255	9.383370414204
ACVR2B	1.97041959	1.417509515
ACVRL1	0	4.55467
ACY1	0	17.493
ACY3	0	0
ACYP1	48.1414	0
ACYP2	0	0
ADAD1	0	0
ADAD2	0	0
ADAL	8.44742	5.89187
ADAM10	80.4729	48.3921
ADAM11	0	0
ADAM12	0	6.85967
ADAM15	110.324400394676	39.7939
ADAM17	19.7819698296	20.89867
ADAM18	0	0
ADAM19	23.80378	9.97214
ADAM20	0	0
ADAM21P1	0	0
ADAM21	0	0
ADAM22	0	0
ADAM23	9.60678	0
ADAM28	12.5147	0
ADAM29	0	0
ADAM2	0	0
ADAM30	0	0
ADAM32	0	0
ADAM33	0	0
ADAM3A	0	0
ADAM6	21.4034	62.3885
ADAM7	0	0
ADAM8	191.511	44.7792
ADAM9	11.75469635659	12.4359774
ADAMDEC1	10.6166	0
ADAMTS10	61.44489	0
ADAMTS12	0	0
ADAMTS13	0	0
ADAMTS14	0	0
ADAMTS15	0	0
ADAMTS16	0	0
ADAMTS17	3.57601	0
ADAMTS18	0	0
ADAMTS19	0	0
ADAMTS1	4.91161	0
ADAMTS20	0	0
ADAMTS2	0	0
ADAMTS3	0	0
ADAMTS4	0	3.73557
ADAMTS5	0	0
ADAMTS6	0	0
ADAMTS7	0	0
ADAMTS8	0	0
ADAMTS9	0	0
ADAMTSL1	0	0
ADAMTSL2	6.75756	0
ADAMTSL3	0	0
ADAMTSL4	56.39759	8.19109
ADAMTSL5	0	13.3195
ADAP1	90.8638	97.329339726
ADAP2	34.0386134	17.80219906
ADARB1	11.4683	14.58047
ADARB2	0	0
ADAR	126.26985346	63.302222804966
ADAT1	34.274	11.9466
ADAT2	7.24454	0
ADAT3	30.9044	0
ADA	16.7511	0
ADCK1	33.2889	21.0269
ADCK2	0	7.83403
ADCK4	34.9903	8.02667
ADCK5	0	0
ADCY10	0	0
ADCY1	0	0
ADCY2	0	0
ADCY3	21.9622	0
ADCY4	14.0642	0
ADCY5	0	0
ADCY6	0	0
ADCY7	264.858	52.5385
ADCY8	0	0
ADCY9	14.5935	10.4203
ADCYAP1R1	0	0
ADCYAP1	0	0
AZIN2	0	0
ADD1	85.760896843412	134.43077086
ADD2	0	0
ADD3	61.7211	118.85631245
ADH1A	0	0
ADH1B	0	0
ADH1C	0	0
ADH4	0	0
ADH5	53.1827	67.3608
ADH6	0	0
ADH7	0	0
ADHFE1	0	0
ADI1	28.9242	68.87098
ADIG	0	0
ADIPOQ	0	0
ADIPOR1	83.5496	79.32695083
ADIPOR2	34.74537	24.50986
ADK	0	24.2626
ADM2	0	0
ADM	0	0
ADNP2	8.44333	2.99765
ADNP	25.1786	14.2532
ADORA1	0	0
SPECC1L-ADORA2A	29.6047	21.80073
ADORA2B	0	0
ADORA3	0	0
ADO	18.5488	4.35382
ADPGK	102.8102	65.595891207
ADPRHL1	0	0
ADPRHL2	15.2814	0
ADPRH	26.8726	5.38776
ADRA1A	0	0
ADRA1B	0	0
ADRA1D	0	0
ADRA2A	0	0
ADRA2B	0	0
ADRA2C	0	0
ADRB1	0	0
ADRB2	11.719	8.06308
ADRB3	0	0
ADRBK1	382.238	197.889
ADRBK2	40.6309375614	28.652500162929
ADRM1	137.7178	118.493
ADSL	31.33458	23.9677
ADSSL1	0	9.38826
ADSS	42.3665	41.365
AEBP1	10.6472	0
AEBP2	10.0463	10.6638
AEN	19.4461	12.965
AES	451.987666	834.818
AFAP1L1	0	0
AFAP1L2	0	0
AFAP1	12.001	4.28309
AFF1	40.395765336	22.1888
AFF2	0	0
AFF3	6.236308	9.60821
AFF4	64.6964	5.03404
AFG3L1P	152.8392	16.37607
AFG3L2	11.211	24.3201
AFMID	21.9554	9.74282
AFM	0	0
AFP	0	0
AFTPH	30.1972	55.3197
C11orf96	0	0
AGAP1	5.25091	0
AGAP2	27.8138	19.935
AGAP3	35.8327	9.50543
AGAP6	46.3738	0
AGAP5	0	0
AGA	76.1017	68.1143
AGBL1	0	0
AGBL2	0	0
AGBL3	6.53746	0
AGBL4	5.83858	0
AGBL5	0	8.61461
AGER	292.7853	0
AGFG1	28.5562	3.764882675861
AGFG2	9.48416	25.9062
AGGF1	34.918	10.8716
AGK	47.7486	14.638
AGL	6.35288397	4.5312233453
AGMAT	0	7.45084
AGPAT1	66.3756	41.2621
AGPAT2	47.3151	57.0145
AGPAT3	24.62200364022	35.0719042208828
AGPAT4	15.26	24.2218
AGPAT5	4.56494	11.7011
GPAT4	28.7055	22.9928
GPAT3	0	12.9005
HYKK	11.8509	0
AGPS	9.09451	14.7015
AGR2	0	0
AGR3	0	0
AGRN	6.16697	2.20017
AGRP	0	0
AGTPBP1	59.9714868753	34.0013
AGTR1	0	0
AGTR2	0	0
AGTRAP	234.752	297.111
AGT	0	0
ETNPPL	0	0
PHYKPL	71.5393	11.5289
AGXT2	0	0
AGXT	0	0
AHCTF1	24.7525	17.42954458943
AHCYL1	38.5301	40.65625
AHCYL2	13.9014	0
AHCY	42.9612	51.9381
AHDC1	7.00812	2.93818
AHI1	0	0
AHNAK2	0	0
AHNAK	293.842	154.3064
AHRR	0	0
AHR	14.1293	10.0118
AHSA1	44.4401	59.5623
AHSA2	207.3604	0
AHSG	0	0
AHSP	0	0
AICDA	0	0
AIDA	51.8803	43.3063
AIF1L	0	0
AIF1	621.4488	602.0119
AIFM1	22.2682	39.0158
AIFM2	0	0
AIFM3	45.4983713	0
AIG1	21.6757	14.3234
AIM1L	0	0
AIM1	17.9237	22.4979
AIM2	0	0
AIMP1	18.6231	32.3556
AIMP2	0	18.3586
AIPL1	0	0
AIP	122.154	108.192
AIRE	22.6462	0
AJAP1	0	0
AK1	10.4412	7.22207
AK2	59.7017	40.7481204
AK4	0	0
AK3	0	25.874
AK5	14.2822	10.0164
AK7	0	0
AKAP10	0	5.58336
AKAP11	20.3688	6.50746
AKAP12	0	0
AKAP13	81.01248599	58.866
AKAP14	0	0
AKAP1	18.0679	16.4184008
AKAP2	0	0
AKAP3	0	0
AKAP4	0	0
AKAP5	0	0
AKAP6	0	3.02945
AKAP7	0	7.24497
AKAP8L	22.4736	46.4805
AKAP8	7.12269	0
AKAP9	39.314420247	8.42011
AK9	3.5789	0
AKIRIN1	9.0747	53.8199
AKIRIN2	12.3885	34.0006
AKNAD1	0	0
AKNA	214.34259555	85.19074610316
AKR1A1	106.5017	0
AKR1B10	0	0
AKR1B15	0	0
AKR1B1	158.945	59.2973
AKR1C1	0	0
AKR1C2	0	0
AKR1C3	0	54.5575
AKR1C4	0	0
AKR1C8P	0	0
AKR1D1	0	0
AKR1E2	0	0
AKR7A2	54.5497	66.2205
AKR7A3	0	0
AKT1S1	27.1992	48.7967
AKT1	163.2285	113.585
AKT2	69.87017	56.1022
AKT3	0	27.00443
AKTIP	64.851133928	7.62489
ALAD	58.2764	10.210183
ALAS1	52.3542	21.7251
ALAS2	0	0
ALB	0	0
ALCAM	0	22.727464273768
ALDH16A1	52.0358	24.173
ALDH18A1	0	21.7415
ALDH1A1	23.204500202447	44.6565
ALDH1A2	0	0
ALDH1A3	0	0
ALDH1B1	9.85617	5.38051
ALDH1L1	0	0
ALDH1L2	0	0
ALDH2	152.9638	188.5542159038
ALDH3A1	0	0
ALDH3A2	14.3377	13.5139
ALDH3B1	69.2996	59.25046
ALDH3B2	0	0
ALDH4A1	9.95258	6.89813
ALDH5A1	4.47782694	3.17111495
ALDH6A1	23.791	8.17852
ALDH7A1	0	0
ALDH8A1	0	0
ALDH9A1	48.3494	33.9922
ALDOA	899.899	1009.22620740722
ALDOB	0	0
ALDOC	0	42.1832
ALG10B	4.634286406	1.61337953523
ALG10	0	0
ALG11	0	8.28443
ALG12	0	20.6677
ALG13	25.34946	9.31627
ALG14	24.2678	0
ALG1L2	0	0
ALG1L	0	0
ALG1	11.68018	0
ALG2	0	5.7541
ALG3	19.412	36.78295
ALG5	22.6756	14.9248
ALG6	13.7196	10.166
ALG8	43.585800455785	0
ALG9	7.3930483	6.86983
ALKBH1	0	6.74114
ALKBH2	0	17.8775
ALKBH3	0	0
ALKBH4	0	8.34059
ALKBH5	67.0801	77.0942
ALKBH6	25.0087	0
ALKBH7	68.8028	75.3981
ALKBH8	6.42541	9.96644
ALK	0	0
ALLC	0	0
ALMS1P1	0	0
ALMS1	1.748488604	1.39902
ALOX12B	0	0
ALOX12P2	0	0
ALOX12	0	0
ALOX15B	9.45888	12.20640418901
ALOX15	0	0
ALOX5AP	60.812	271.86
ALOX5	193.1860145	73.1657
ALOXE3	0	0
ALPI	0	0
ALPK1	21.8723	4.9585
ALPK2	0	0
ALPK3	0	0
ALPL	0	28.2505
ALPPL2	0	0
ALPP	0	0
ALS2CL	26.55	4.66493
ALS2CR11	0	0
ALS2CR12	12.3058	0
TMEM237	0	0
CARF	13.856016591	0
ALS2	4.85022	10.166
ALX1	0	0
ALX3	0	0
ALX4	0	0
SLC35G5	0	0
SLC35G6	0	0
SLC35G3	0	0
AMACR	32.9042	0
AMBN	0	0
AMBP	0	0
AMBRA1	4.66211844069	6.60838027469
AMD1	37.934357529	34.0861
AMDHD1	0	0
AMDHD2	32.8066	22.1428
AMELX	0	0
AMELY	0	0
AMFR	53.4778	149.4111
AMHR2	0	0
AMH	0	0
JAML	425.483151876	116.06197658039
AMIGO1	9.51585	39.6448
AMIGO2	0	0
AMIGO3	0	0
AMMECR1L	9.8359738	6.96365253
AMMECR1	4.2871200872846	3.04328
AMN1	24.9522	7.845555774
AMN	0	0
AMOTL1	0	0
AMOTL2	0	0
AMOT	0	14.6246
AMPD1	0	0
AMPD2	118.7392	62.68425
AMPD3	21.113731	12.283
AMPH	0	5.69266
AMTN	0	0
AMT	0	10.3546
AMY1A	0	0
AMY2A	0	0
AMY2B	0	0
AMZ1	0	0
AMZ2P1	6.12643	7.09358
AMZ2	48.1884	70.216734
ANAPC10	0	0
ANAPC11	135.39643061	23.7424
ANAPC13	20.8384	27.63223
ANAPC16	53.8645	50.8784
ANAPC1	41.0064	5.96824
ANAPC2	111.2275	19.5718
ANAPC4	106.7368	7.02848
ANAPC5	148.99674	55.9319321292
ANAPC7	22.8862	10.6784
ANGEL1	16.7424	14.14607
ANGEL2	11.8209	13.4107
ANGPT1	0	7.46426
ANGPT2	0	0
ANGPT4	0	0
ANGPTL1	0	0
ANGPTL2	0	0
ANGPTL3	0	0
ANGPTL4	0	0
ANGPTL5	0	0
ANGPTL6	0	9.2258
ANGPTL7	0	0
ANG	0	46.3159
ANK1	0	5.25328
ANK2	0	0
ANK3	0	19.62911
ANKAR	5.58079	0
ANKDD1A	25.7954	5.99343
ANKFN1	0	0
ANKFY1	62.7508876793	8.60534035274
ANKHD1-EIF4EBP3	8.47671e-05	22.9844
ANKHD1	85.51445	40.99730037346
ANKH	19.21018932	25.7843
ANKIB1	22.0012	7.76871
ANKK1	0	0
ANKLE1	21.6046	0
ANKLE2	66.74724160945	18.1398
ANKMY1	46.13334	6.12659
ANKMY2	18.7972	6.52924
ANKRA2	58.7516	16.0131
ANKRD10	75.02	58.8834
ANKRD11	65.05843425	24.498467346
ANKRD12	56.56333	85.070221392
ANKRD13A	95.382	43.7107010951
ANKRD13B	0	0
ANKRD13C	4.00677	2.90193
ANKRD13D	347.81007	47.2123
ANKRD16	0	0
ANKRD17	20.8784	11.1958
ANKRD1	0	0
ANKRD20A3	0	0
ANKRD20A4	20.0999	0
ANKRD22	0	0
ANKRD23	10.9206	0
ANKRD24	0	0
ANKRD26	7.6677	8.18039
ANKRD27	5.1351	14.5283
ANKRD28	0	7.13614
ANKRD29	0	0
ANKRD2	0	0
ANKRD30A	0	0
ANKRD30B	0	4.62313
ANKRD31	0	0
SLF1	0	15.6399
ANKRD33	0	0
ANKRD34A	0	0
ANKRD34B	0	0
ANKRD34C	0	0
ANKRD35	0	9.65364
ANKRD36BP1	57.9876	0
ANKRD36B	12.65585	0
ANKRD36	51.88975	2.57284
ANKRD37	0	0
ANKRD39	0	0
ANKRD40	54.9624	7.76682
ANKRD42	0	0
SOWAHA	0	0
ANKRD44	87.3851	11.4765
ANKRD45	26.1385	0
ANKRD46	0	0
ANKRD49	37.8007	17.2758
ANKRD50	8.71356	0
ANKRD52	23.3943	5.5758
ANKRD53	0	0
ANKRD54	11.65423	0
ANKRD55	0	6.52924
SOWAHB	0	0
SOWAHC	0	3.47429
SOWAHD	30.6475	0
ANKEF1	6.12473634524	0
ANKRD6	0	0
ANKRD7	0	0
ANKRD9	0	0
ANKS1A	113.234120519607	96.5448
ANKS1B	0	9.18342
ANKS3	0	7.49975495184
ANKS4B	0	0
ANKS6	0	4.93835
ANKZF1	146.84198446	11.31115
ANLN	0	0
ANO10	10.9639	20.4127
ANO1	0	0
ANO2	0	0
ANO3	0	0
ANO4	0	0
ANO5	0	0
ANO6	19.299686469	24.7054215195
ANO7	0	0
ANO8	4.84597	0
ANO9	54.8195	0
ANP32A	66.7834	178.845
ANP32B	301.257	429.336
ANP32D	0	0
ANP32E	37.0435	51.95407
ANPEP	119.957	39.9899
ANTXR1	0	0
ANTXR2	35.91829	29.33397
ANTXRL	0	0
ZFAND4	0	11.7794
ANXA10	0	0
ANXA11	114.485046564	225.45911
ANXA13	0	0
ANXA1	352.93	438.475
ANXA2	345.745	404.205
ANXA3	0	10.8241
ANXA4	44.3613	15.7996
ANXA5	287.8957	257.0951
ANXA6	215.644269507	302.3796
ANXA7	66.6088	85.1976
ANXA8L1	0	0
ANXA8	0	0
ANXA9	52.7131	0
AOAH	247.922	103.116
AOC2	0	0
AOC3	0	0
AOX1	0	0
AP1AR	0	11.6
AP1B1	56.17643005919	46.09909
AP1G1	33.0473	5.91548
AP1G2	145.4983	25.8114
AP1M1	64.7246	134.115
AP1M2	0	0
AP1S1	0	38.4893
AP1S2	155.298	248.811206
AP1S3	0	4.16234
AP2A1	147.23210788421	71.8955800457059
AP2A2	71.436	17.516
AP2B1	53.4124	53.6765700381982
AP2M1	197.9288	163.5117
AP2S1	140.336	190.259
AP3B1	17.2831	32.5119
AP3B2	0	0
AP3D1	85.708	37.5084
AP3M1	31.570900247029	3.07428
AP3M2	6.78825	4.76783
AP3S1	21.403	14.1586
AP3S2	11.976040190717	13.169
AP4B1	16.6628	11.2347
AP4E1	19.2431229332	25.68020172635
AP4M1	16.0347	0
AP4S1	0	0
APAF1	31.347572149019	7.17602
APBA1	6.87097	0
APBA2	69.4628	21.72174
APBA3	32.9734	9.02283
APBB1IP	72.3852	98.9731
APBB1	112.698783	22.952642
APBB2	0	0
APBB3	68.41742	0
APC2	0	0
APCDD1L	0	0
APCDD1	0	6.36807
APCS	0	0
APC	9.99575	1.78756
APEH	59.2904	62.2192
APEX1	173.613	100.5465969
APEX2	36.2519	9.16238
APH1A	106.3160216236	82.2274
APH1B	5.63769	0
API5	67.47377447098	64.587600177002
APIP	39.7662	0
APITD1	17.2609	0
APLF	0	4.21055
APLNR	0	0
APLN	0	0
APLP1	0	0
APLP2	290.6792239	281.5937370007
APOA1BP	0	60.031759
APOA1	0	0
APOA2	0	0
APOA4	0	0
APOA5	0	0
APOBR	122.7166	59.7724
APOBEC1	0	0
APOBEC2	0	0
APOBEC3A	142.193	69.8361
APOBEC3B	17.8891	0
APOBEC3C	115.029	44.1944
APOBEC3D	30.7014	11.2745
APOBEC3F	44.9381	3.71548
APOBEC3G	88.1119	45.2162
APOBEC3H	0	0
APOBEC4	0	0
APOB	0	0
APOC1P1	0	0
APOC1	0	0
APOC4-APOC2	0	0
APOC3	0	0
APOC4	0	0
APOD	0	0
APOE	0	0
APOF	0	0
APOH	0	0
APOL1	26.4325	9.72953
APOL2	121.5620461479	6.41147
APOL3	144.039	53.9919
APOL4	7.1875	5.03975
APOL5	0	0
APOL6	57.3609	19.521328
APOLD1	0	0
APOM	0	0
APOOL	7.46399	0
APOO	0	0
APPBP2	7.0969335204	5.0538112241
APPL1	4.00831	29.9709
APPL2	46.0264	21.4715
APP	46.6586	84.55900167215
APRT	268.33	402.154
APTX	0	47.9831839
AQP10	0	9.1887
AQP11	0	0
AQP12A	0	0
AQP12B	0	0
AQP1	0	0
AQP2	0	0
AQP3	15.187	81.2972
AQP4	0	0
AQP5	0	0
AQP6	10.0888	0
AQP7	0	0
AQP8	0	0
AQP9	26.6127	18.5288
LVRN	0	0
AQR	8.96703	12.7201
ARAF	82.7303	40.6008
ARAP1	204.66110199048	117.566
ARAP2	41.88251	13.127
ARAP3	20.25466	0
ARCN1	99.6707027137	48.4233
ARC	0	0
AREG	0	0
ARF1	306.9448	417.777
ARF3	45.6543	142.166
ARF4	55.559830701	37.8866041236
ARF5	185.996	189.453
ARF6	134.146	135.732
ARFGAP1	49.520762	28.5039
ARFGAP2	195.16210772	64.5613
ARFGAP3	23.9785	47.104
ARFGEF1	67.57446	31.15053
ARFGEF2	16.47625	5.35908
ARFIP1	19.5101	6.7668
ARFIP2	78.0212	39.8589
ARFRP1	46.11611	19.806
ARG1	33.99130848792	0
ARG2	13.5652	10.666
ARGFX	4.65823	0
ARGLU1	331.957	70.186
ARHGAP10	18.2885	0
ARHGAP11A	0	0
ARHGAP11B	0	0
ARHGAP12	29.701	0
ARHGAP15	54.8707	131.9834
ARHGAP17	86.4208	10.9376
ARHGAP18	6.85345	0
ARHGAP19	0	18.019672743688
ARHGAP1	80.4909	34.0235
ARHGAP20	0	0
ARHGAP21	8.42169	4.9353
ARHGAP22	8.94262	0
ARHGAP23	0	0
ARHGAP24	5.72524	4.03935
ARHGAP25	55.4795	34.8
ARHGAP26	28.231470982	21.2297213797
ARHGAP27	218.9989	19.27435
ARHGAP28	0	0
ARHGAP29	0	0
ARHGAP30	322.482701655	173.9492
ARHGAP31	11.1538	3.98434
ARHGAP32	0	14.96671
ARHGAP33	35.7249	0
ARHGAP36	0	0
ARHGAP39	0	0
ARHGAP42	0	0
ARHGAP4	553.174	163.6611
ARHGAP5	14.1479578	5.79545
ARHGAP6	0	0
ARHGAP8	0	0
ARHGAP9	321.81376732	102.192989
ARHGDIA	389.332	373.121
ARHGDIB	1351.917	1316.12
ARHGDIG	0	0
ARHGEF10L	50.835700939514	15.8588
ARHGEF10	0	0
ARHGEF11	65.4533	22.2369
ARHGEF12	0	1.692240570072
ARHGEF15	0	0
ARHGEF16	0	0
ARHGEF17	0	0
ARHGEF18	83.73918	70.6582
ARHGEF19	0	0
ARHGEF1	1113.1482424505	232.7084
ARHGEF2	78.1705373165	98.52850037942
ARHGEF33	0	0
ARHGEF35	0	0
ARHGEF37	0	0
ARHGEF38	0	0
ARHGEF3	75.041700384905	47.71789
ARHGEF4	7.823	0
ARHGEF5	12.3955	0
ARHGEF6	69.5944	58.2435
ARHGEF7	26.45106	10.5516
ARHGEF9	26.6905	18.241200789434
ARID1A	95.303135	53.17919452
ARID1B	11.171227721455	31.925703
ARID2	8.17647	5.80913
ARID3A	16.6783	23.276
ARID3B	43.5021	11.45023
ARID3C	0	0
ARID4A	38.5107138	2.901397837
ARID4B	40.78291	40.91829
ARID5A	86.461	33.3403
ARID5B	3.00474	17.99829
ARIH1	25.9999	12.3019
ARIH2	19.2148	68.6946
ARL10	0	0
ARL11	14.3835	4.92947
ARL13A	0	0
ARL13B	0	0
ARL14	0	0
ARL15	0	6.80423
ARL16	42.0731783	22.1888
ARL17B	46.4267	3.06193
ARL1	29.4244	39.9945
ARL2BP	67.904262567	37.66339
ARL2	53.598415	17.2416
ARL3	0	4.1885
ARL4A	0	0
ARL4C	126.053	222.333
ARL4D	15.377	0
ARL5A	7.99634	20.5079
ARL5B	6.42355	0
ARL5C	0	0
ARL6IP1	44.2283	130.019781
ARL6IP4	283.7577	199.4063
ARL6IP5	189.868	184.848
ARL6IP6	0	27.7094
ARL6	0	0
ARL8A	80.4533	34.8362
ARL8B	16.394	33.01607329
ARL9	0	0
ARMC10	10.3872	29.6084
ARMC1	19.1886	6.1715
ARMC2	13.5474	9.72703
ARMC3	0	0
ARMC4	0	0
ARMC5	18.2769	6.35542
ARMC6	22.4850332843	15.50100079358
ARMC7	12.3539	0
ARMC8	36.6642	16.2124
ARMC9	0	0
ARMCX1	0	7.69268
ARMCX2	8.78982	0
ARMCX3	13.9445354364	9.786543534297
ARMCX5	8.0449309527	11.241300413772
ARMCX6	13.7007	9.34984
ARMS2	0	0
ARNT2	0	0
ARNTL2	0	0
ARNTL	19.636	0
ARNT	7.27018	16.15205
ARPC1A	47.1521	34.9805
ARPC1B	727	664.098
ARPC2	707.807	617.959
ARPC3	629.867	786.612
ARPC4	261.9764	340.391
ARPC5L	106.6986	16.4102
ARPC5	204.868	248.404
ACTRT3	0	0
ARPP19	18.00577776	22.1676367081
ARPP21	0	0
ARR3	19.7588	0
ARRB1	32.6168	52.5475
ARRB2	479.2008319836	431.0617
ARRDC1	149.0382	62.0074
ARRDC2	93.638	45.3346
ARRDC3	27.5426	15.5601
ARRDC4	0	15.9281
ARRDC5	0	10.0742
ARSA	189.9357	17.2851
ARSB	43.6823	2.85927
ARSD	44.32117	25.0468
ARSE	0	0
ARSF	0	0
ARSG	26.62621	0
ARSH	0	0
ARSI	0	0
ARSJ	0	0
ARSK	7.52013632919	0
ART1	0	0
ART3	0	0
ART4	0	0
ART5	0	0
ARTN	0	0
ARV1	17.1273	0
ARVCF	10.0612	0
ARX	0	0
AR	0	0
AS3MT	19.3716	0
ASAH1	169.979	134.695
ASAH2B	0	0
ASAH2	0	0
CLMP	0	0
ASAP1	22.5115142655	20.5673
ASAP2	0	0
ASAP3	0	0
ASB10	0	0
ASB11	0	0
ASB12	0	0
ASB13	42.8424	18.9908
ASB14	21.5434	0
ASB15	0	0
ASB16	18.1555	0
ASB17	0	0
